method,benchmark,metric,value
Qwen3VL,EgoR1Bench,alpha_eplus_C,8.0
Qwen3VL,EgoR1Bench,alpha_eJ,28.0
Qwen2.5VL,Egoschema,alpha_eC,64.6
Qwen2.5VL,Egoschema,alpha_eplus_C,52.4
Qwen2.5VL,Egoschema,alpha_eJ,44.4
Qwen2.5VL,EgoLifeQA,alpha_eC,33.2
Qwen2.5VL,EgoLifeQA,alpha_eplus_C,4.8
Qwen2.5VL,EgoLifeQA,alpha_eJ,9.6
Qwen2.5VL,EgoR1Bench,alpha_eC,26.0
Qwen2.5VL,EgoR1Bench,alpha_eplus_C,4.33
Qwen2.5VL,EgoR1Bench,alpha_eJ,21.0
LLaVA-Video,Egoschema,alpha_eC,61.6
LLaVA-Video,Egoschema,alpha_eplus_C,48.8
LLaVA-Video,Egoschema,alpha_eJ,38.0
LLaVA-Video,EgoLifeQA,alpha_eC,26.8
LLaVA-Video,EgoLifeQA,alpha_eplus_C,10.6
LLaVA-Video,EgoLifeQA,alpha_eJ,6.8
LLaVA-Video,EgoR1Bench,alpha_eC,29.7
LLaVA-Video,EgoR1Bench,alpha_eplus_C,16.7
LLaVA-Video,EgoR1Bench,alpha_eJ,17.3
LLaVA-OV,Egoschema,alpha_eC,60.4
LLaVA-OV,Egoschema,alpha_eplus_C,47.4
LLaVA-OV,Egoschema,alpha_eJ,37.2
LLaVA-OV,EgoLifeQA,alpha_eC,29.2
LLaVA-OV,EgoLifeQA,alpha_eplus_C,11.6
LLaVA-OV,EgoLifeQA,alpha_eJ,8.8
LLaVA-OV,EgoR1Bench,alpha_eC,28.3
LLaVA-OV,EgoR1Bench,alpha_eplus_C,14.3
LLaVA-OV,EgoR1Bench,alpha_eJ,18.7
InternVL3.5,Egoschema,alpha_eC,65.0
InternVL3.5,Egoschema,alpha_eplus_C,53.0
InternVL3.5,Egoschema,alpha_eJ,40.6
InternVL3.5,EgoLifeQA,alpha_eC,26.0
InternVL3.5,EgoLifeQA,alpha_eplus_C,7.62
InternVL3.5,EgoLifeQA,alpha_eJ,6.23
InternVL3.5,EgoR1Bench,alpha_eC,30.3
InternVL3.5,EgoR1Bench,alpha_eplus_C,15.7
InternVL3.5,EgoR1Bench,alpha_eJ,17.7
InternVideo2.5,Egoschema,alpha_eC,58.2
InternVideo2.5,Egoschema,alpha_eplus_C,44.6
InternVideo2.5,Egoschema,alpha_eJ,31.4
InternVideo2.5,EgoLifeQA,alpha_eC,27.4
InternVideo2.5,EgoLifeQA,alpha_eplus_C,9.4
InternVideo2.5,EgoLifeQA,alpha_eJ,5.6
InternVideo2.5,EgoR1Bench,alpha_eC,29.3
InternVideo2.5,EgoR1Bench,alpha_eplus_C,13.0
InternVideo2.5,EgoR1Bench,alpha_eJ,14.0
EgoGPT,Egoschema,alpha_eC,54.8
